书名,链接,价格,作者,出版日期,出版社
Python编程从入门到实践 第3版,//product.dangdang.com/29564789.html,¥69.80,[美]埃里克·马瑟斯（Eric Matthes）,2023-05-01,人民邮电出版社
小学生Python创意编程 视频教学版,//product.dangdang.com/29666296.html,¥49.00,刘凤飞,2024-01-01,清华大学出版社
Python异步编程,//product.dangdang.com/29571544.html,¥47.60,[澳大利亚]凯莱布 哈廷（Caleb Hattingh）,2023-05-04,中国电力出版社
程序员数学 用Python学透线性代数和微积分,//product.dangdang.com/29342404.html,¥64.90,[美]保罗·奥兰德（Paul Orland）,2021-12-01,人民邮电出版社
我跟爸爸学编程：从Python到C++(第2版),//product.dangdang.com/29878981.html,¥69.00,叶哲语、叶洪涛,2025-04-01,清华大学出版社
Python数据可视化之Matplotlib与Pyecharts实战,//product.dangdang.com/29637369.html,¥49.00,王国平,2023-10-01,清华大学出版社
python编程 从入门到实践 学习手册跟我一起玩python编程从入门到精通快速上手基础及应用当当自营同款程自学教程高,//product.dangdang.com/11350920189.html,¥29.80,未蓝文化,2020-08-01,中国青年出版社
语音与音乐信号处理轻松入门（基于Python与PyTorch）,//product.dangdang.com/29865814.html,¥69.00,姚利民,2025-03-01,清华大学出版社
Python网络编程,//product.dangdang.com/12334342774.html,¥51.80,编者:王菊雅//李泽彪//鲍小忠|,2025-06-01,中国铁道
Python少儿趣味编程 教孩子学编程 少儿编程入门教程图书 零基础自学python编程 青少年编程真好玩,//product.dangdang.com/1534660915.html,¥34.50,李强 李若瑜,2019-11-01,人民邮电出版社
Python量子计算实践：基于Qiskit和IBM Quantum Experience平台,//product.dangdang.com/29713324.html,¥77.80,[美]哈西·诺伦（Hassi Norlén）,2024-04-01,人民邮电出版社
数学要素 全彩图解 + 微课 +Python 编程,//product.dangdang.com/29560701.html,¥238.00,姜伟生,2023-05-01,清华大学出版社
Python网络爬虫技术-大数据人才培养规划教材,//product.dangdang.com/633677945.html,¥29.45,江吉彬 张良均,,人民邮电出版社
Python趣味编程-从入门到人工智能,//product.dangdang.com/1745447432.html,¥29.73,谢声涛,,清华大学出版社
Python面向对象程序设计基础,//product.dangdang.com/11373789895.html,¥14.85,编者:杨薇//杨天晴|责编:明政珠//秦志峰,2022-08-01,西安电子科大
Python面向对象程序设计基础,//product.dangdang.com/11253969734.html,¥15.20,编者:杨薇//杨天晴|责编:明政珠//秦志峰,2022-08-01,西安电子科大
Python程序设计,//product.dangdang.com/11939749084.html,¥15.50,编者:赵骥//江业峰|,2025-02-01,北京理工大学
Python网络爬虫实例教程(视频讲解版),//product.dangdang.com/1041367913.html,¥36.35,齐文光,2018-07-01,人民邮电出版社
Python游戏编程入门 游戏开发设计教程书籍 Python开发入门书 Python语言编码 人民邮电出版社,//product.dangdang.com/1744581252.html,¥36.90,(美)Harbour,2018-10-01,人民邮电出版社
Python最优化算法实战Python基础程序设计,//product.dangdang.com/11168608507.html,¥36.50,,,北京大学出版社
Python程序设计(高等学校公共基础课系列教材),//product.dangdang.com/11370832225.html,¥19.31,编者:李光夏|责编:苑林//高樱,2022-03-01,西安电子科大
Python程序设计(高等学校公共基础课系列教材),//product.dangdang.com/11171615094.html,¥19.80,编者:李光夏|责编:苑林//高樱,2022-03-01,西安电子科大
Python程序员面试秘笈 剑指Offer程序员面试宝典代码面试指南python编程实战IT企业公司,//product.dangdang.com/1744577832.html,¥43.30,米努·科利,2020-08-18,人民邮电出版社
Python程序设计 第3三版 董付国 高等院校信息技术教材 Python入门基础知识 语言程序 数据分析爬虫 清华大学,//product.dangdang.com/11010072187.html,¥43.26,董付国,2020-09-15,清华大学出版社
Python办公效率手册,//product.dangdang.com/11019643187.html,¥43.86,,2021-10-08,人民邮电出版社
Python大数据分析与挖掘实战 微课版 黄恒秋 Python基础入门书籍 Python科学计算,//product.dangdang.com/11000324157.html,¥43.86,,2021-01-12,人民邮电出版社
Python爬虫开发与项目实战,//product.dangdang.com/1173006177.html,¥45.45,范传辉,2017-06-01,机械工业出版社
Python深度学习-基于TensorFlow,//product.dangdang.com/1336083513.html,¥45.45,吴茂贵,2018-01-01,机械工业出版社
Python数据分析入门与实战,//product.dangdang.com/1746527862.html,¥46.13,,2020-09-01,机械工业出版社
Python 程序设计实用教程,//product.dangdang.com/12346129410.html,¥4.10,董付国 著,2020-07-01,北京邮电大学出版社
Python开发向导/云计算工程师系列,//product.dangdang.com/11170920785.html,¥26.16,编者:肖睿//盛鸿宇,2017-05-01,中国水利水电
Python数据分析入门与实战,//product.dangdang.com/12346180640.html,¥4.81,"开课吧,杨国俊,张植皓,潘海超等",2020-09-01,机械工业出版社
Python程序开发 初级 python程序设计计算机应用技术培训课程入门基础教材*+X项目,//product.dangdang.com/596368458.html,¥34.90,中慧云启科技集团有限公司,2021-11-01,人民邮电出版社
Python开发向导/云计算工程师系列,//product.dangdang.com/1159927697.html,¥26.80,编者:肖睿//盛鸿宇,2017-05-01,中国水利水电
